NE;BA;SALVADOR;PLUS BRASIL COMERCIO E REPRESENTACOES LTDA; 04.674.977/0001-45;AVENIDA GENERAL SAN MARTIN;1387;GL;FAZENDA GRANDE DO RETIRO;40354-185;GASOLINA;6,55;R$ / litro;VIBRA ENERGIA
NE;BA;SALVADOR;PLUS BRASIL COMERCIO E REPRESENTACOES LTDA; 04.674.977/0001-45;AVENIDA GENERAL SAN MARTIN;1387;GL;FAZENDA GRANDE DO RETIRO;40354-185;ETANOL;5,29;R$ / litro;VIBRA ENERGIA
NE;BA;SALVADOR;PLUS BRASIL COMERCIO E REPRESENTACOES LTDA; 04.674.977/0001-45;AVENIDA GENERAL SAN MARTIN;1387;GL;FAZENDA GRANDE DO RETIRO;40354-185;GASOLINA ADITIVADA;6,59;R$ / litro;VIBRA ENERGIA
NE;BA;SALVADOR;PLUS BRASIL COMERCIO E REPRESENTACOES LTDA; 04.674.977/0001-45;AVENIDA GENERAL SAN MARTIN;1387;GL;FAZENDA GRANDE DO RETIRO;40354-185;GNV;4,09;R$ / m³;VIBRA ENERGIA
NE;BA;SALVADOR;GRL ORGANIZACAO REVENDEDORA DE COMBUSTIVEIS, LUBRIFICANTES LTDA; 40.511.529/0002-75;ESTRADA CAMPINAS PIRAJA;1;": LOTEAMENTO JARDIM;";CAMPINAS DE PIRAJA;41270-000;GASOLINA;6,99;R$ / litro;RAIZEN
NE;BA;SALVADOR;GRL ORGANIZACAO REVENDEDORA DE COMBUSTIVEIS, LUBRIFICANTES LTDA; 40.511.529/0002-75;ESTRADA CAMPINAS PIRAJA;1;": LOTEAMENTO JARDIM;";CAMPINAS DE PIRAJA;41270-000;ETANOL;5,67;R$ / litro;RAIZEN
NE;BA;SALVADOR;GRL ORGANIZACAO REVENDEDORA DE COMBUSTIVEIS, LUBRIFICANTES LTDA; 40.511.529/0002-75;ESTRADA CAMPINAS PIRAJA;1;": LOTEAMENTO JARDIM;";CAMPINAS DE PIRAJA;41270-000;DIESEL;5,69;R$ / litro;RAIZEN
NE;BA;SALVADOR;GRL ORGANIZACAO REVENDEDORA DE COMBUSTIVEIS, LUBRIFICANTES LTDA; 40.511.529/0002-75;ESTRADA CAMPINAS PIRAJA;1;": LOTEAMENTO JARDIM;";CAMPINAS DE PIRAJA;41270-000;GASOLINA ADITIVADA;7,29;R$ / litro;RAIZEN
NE;BA;SALVADOR;GRL ORGANIZACAO REVENDEDORA DE COMBUSTIVEIS, LUBRIFICANTES LTDA; 40.511.529/0002-75;ESTRADA CAMPINAS PIRAJA;1;": LOTEAMENTO JARDIM;";CAMPINAS DE PIRAJA;41270-000;DIESEL S10;5,77;R$ / litro;RAIZEN
NE;BA;SALVADOR;POSTO DE COMBUSTIVEIS BEIRA MAR LTDA; 03.577.874/0001-02;AVENIDA AFRANIO PEIXOTO;5444;ALTO DO LUSO;PLATAFORMA;40717-140;GASOLINA;6,51;R$ / litro;BRANCA
